time,close,hashrate,difficulty,month,year,week_date,reward
2020-05-04,8881.65,125392706.799172,15958652328578.4,5,2020,2020-05-08,1800.0
2020-05-05,9029.75,125928121.968959,16079831604278.3,5,2020,2020-05-08,1800.0
2020-05-06,9153.2,123668735.999823,16104807485529.4,5,2020,2020-05-08,1800.0
2020-05-07,9999.93,117827562.572616,16104807485529.4,5,2020,2020-05-08,1800.0
2020-05-08,9808.18,109479994.394956,16104807485529.4,5,2020,2020-05-08,1800.0
2020-05-09,9541.13,108663612.736843,16104807485529.4,5,2020,2020-05-15,1800.0
2020-05-10,8735.05,135872632.05854,16104807485529.4,5,2020,2020-05-15,1800.0
2020-05-11,8568.88,125480689.67894,16104807485529.4,5,2020,2020-05-15,1800.0
2020-05-12,8821.18,116506692.278827,16104807485529.4,5,2020,2020-05-15,900.0
2020-05-13,9317.44,94618897.4534501,16104807485529.4,5,2020,2020-05-15,900.0
2020-05-14,9793.19,94923213.2427666,16104807485529.4,5,2020,2020-05-15,900.0
2020-05-15,9311.69,100021376.304714,16104807485529.4,5,2020,2020-05-15,900.0
2020-05-16,9387.08,102079109.837435,16104807485529.4,5,2020,2020-05-22,900.0
2020-05-17,9670.56,81279455.5953462,16104807485529.4,5,2020,2020-05-22,900.0
2020-05-18,9722.73,101921845.308079,16104807485529.4,5,2020,2020-05-22,900.0
2020-05-19,9780.2,94782518.5265117,16104807485529.4,5,2020,2020-05-22,900.0
2020-05-20,9509.45,87062046.6017161,15213703057048.3,5,2020,2020-05-22,900.0
2020-05-21,9059.11,97992697.0032126,15138043247082.9,5,2020,2020-05-22,900.0
2020-05-22,9170.74,83588481.5965452,15138043247082.9,5,2020,2020-05-22,900.0
2020-05-23,9186.19,89778869.3377245,15138043247082.9,5,2020,2020-05-29,900.0
2020-05-24,8718.49,90859391.8879148,15138043247082.9,5,2020,2020-05-29,900.0
2020-05-25,8901.48,97904692.1355383,15138043247082.9,5,2020,2020-05-29,900.0
2020-05-26,8844.5,92842103.6559611,15138043247082.9,5,2020,2020-05-29,900.0
2020-05-27,9204.62,106384768.440864,15138043247082.9,5,2020,2020-05-29,900.0
2020-05-28,9579.71,100128676.372582,15138043247082.9,5,2020,2020-05-29,900.0
