,machine_cost,tracking_error_ideal,tracking_error_true,short_shortfall_init,short_shortfall_true,weekly_liq_unhedged_init,weekly_liq_unhedged_true,unhedged_tracking_error_init,unhedged_tracking_error_true,k,lambda_C
62,1350.0,0.10675400444088058,0.01974147602232466,0.016221297300413065,0.004478382399989683,1157.0231051310748,2328.7652120164366,0.14294584805105573,-0.7250112681603235,62,0.8
63,1350.0,0.004193087766171786,0.03372805589334298,0.0014452342388140138,0.003746074951177736,1291.4666096886642,2632.0044682837292,0.04335806689728576,-0.9496329394694291,63,0.8
64,1350.0,0.24137678799019016,0.08938499291051041,0.03924061895234689,0.015355468466248995,564.4235914910774,1596.6150599556968,0.5819084507473501,-0.182677822189405,64,0.8
65,1350.0,0.008478548031743081,0.04460842696730859,0.0014452342388146522,0.003746074951178374,1440.4871090910847,2789.1411891900257,-0.06702748821561828,-1.06603051051113,65,0.8
66,1350.0,0.44782543593611596,0.18511312942189015,0.02613156166881557,0.011034967459262163,580.6532450546388,1724.9431030708026,0.5698864851447121,-0.27773563190429823,66,0.8
67,1350.0,0.29730390016663644,0.035375835838223804,0.051020326180922296,0.006626642099925806,343.87774367366944,1142.1284126834817,0.7452757454269116,0.15397895356779137,67,0.8
68,1350.0,0.30400558840666825,0.016360082046345682,0.047902396632999056,0.0032052359113730056,501.7534190106005,1303.8837424807439,0.6283308007328885,0.03416019075500454,68,0.8
69,1350.0,-0.015111887418256519,0.0847186865744232,-9.71445146547012e-16,0.003829967885853325,2483.995456123693,3911.3911151993602,-0.8399966341656987,-1.897326751999526,69,0.8
70,1350.0,0.008523503728647054,0.04224918035032309,0.0014452342388141526,0.0037460749511778746,1104.8736828152726,2445.0578996290856,0.18157504976646477,-0.8111539997252486,70,0.8
71,1350.0,-0.01648823422607259,0.13342292353808546,2.7755575615628914e-17,0.003829967885854324,4882.569808216474,6398.835654192212,-2.6167183764566473,-3.7398782623646016,71,0.8
